id,description,group,is_super,created_at,updated_at,deleted_at
1z9Sv2fC1ALXdM80L0QHs9c3HLDoAOO8,"Crear Roles",SEGURIDAD/ROLES,0,"2019-10-03 19:07:16","2019-10-03 19:07:16",NULL
G8aCoYYCgE8fAwegn0MvWjxMXhxIIrhy,"Seleccionar Permiso",SEGURIDAD/PERMISOS,0,"2019-10-08 19:57:00","2019-10-09 16:53:45",NULL
lJFsnYJCnFcVPVBBUOQrmlv3b6Y2X2ZE,"Crear Usuarios",ADMIN/USUARIOS,0,"2019-10-03 19:18:20","2019-10-03 19:18:20",NULL
m0D4LIsO7V79aDueMDjgWGOmp8mPW6c0,"Seleccionar Rol",SEGURIDAD/ROLES,0,"2019-10-09 16:51:29","2019-10-09 16:51:29",NULL
n5TraVIrRoioG1kqdHsIaZLYDvxO8MFD,"Eliminar Usuarios",ADMIN/USUARIOS,0,"2019-10-03 19:17:55","2019-10-03 19:17:55",NULL
nrPqEhq2TX0mI7qT7glaOCJ7Iqx2QtPs,"Ver Roles",SEGURIDAD/ROLES,0,"2019-10-03 19:06:12","2019-10-03 19:06:12",NULL
nTSk4Y4SFKMyQmRD4ku0UCiNWIDe8OEt,"Ver Usuarios",ADMIN/USUARIOS,0,"2019-10-03 19:17:34","2019-10-03 19:17:34",NULL
QpKVz00WUbZVJMPFu3iBNGBTdMFYubQ2,"Eliminar Roles",SEGURIDAD/ROLES,0,"2019-10-03 19:06:58","2019-10-03 19:06:58",NULL
RGMUpFAiRuv7UFoJroHP6CtvmpoFlQXl,"CRUD Permisos",SEGURIDAD/PERMISOS,1,"2019-10-03 19:03:33","2019-10-07 15:45:23",NULL
v216XcAzgbt4mIjj6gZP2rdRTupXz0AO,"Editar Roles",SEGURIDAD/ROLES,0,"2019-10-03 19:06:35","2019-10-03 19:06:35",NULL
W8Xmv3hiIyIpkZfJMaL9MsRxxuSIiO5R,"Editar Usuarios",ADMIN/USUARIOS,0,"2019-10-03 19:17:43","2019-10-03 19:17:43",NULL